n,k,upper,lower,match,ell,m,minimizer,candidates
19,14,5959769474362117268868,5959769474362117268868,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 16534484586797128316, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 16534484586797128406}",134
19,15,22084124699402859747675,22084124699402859747675,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 84253501128146111700, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 84253501128146111790}",134
19,16,75174255507738245501866,75174255507738245501866,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 383608218176077917270, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 383608218176077917360}",134
19,17,237491154709328343238491,237491154709328343238491,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1581280975822981608662, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 1581280975822981608752}",134
19,18,702267936091647241418280,702267936091647241418280,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 5967409263690434939352, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 5967409263690434939442}",134
20,3,3486776738,3486776738,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7663, ""isolated"": 0, ""period_bound"": 11, ""proper_colorings"": 7674}",149
20,4,1099504579807,1099504579807,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7047969, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 7048068}",149
20,5,95366134575104,95366134575104,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1297065521, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 1297065620}",149
20,6,3656056022637405,3656056022637405,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 102417425571, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 102417425670}",149
20,7,79787884286989558,79787884286989558,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4382010622443, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 4382010622542}",149
20,8,1152803544443584091,1152803544443584091,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 117960163262885, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 117960163262984}",149
20,9,12155459330379207132,12155459330379207132,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2206128677721669, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 2206128677721768}",149
20,10,99969297251879198809,99969297251879198809,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 30702748120801191, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 30702748120801290}",149
20,11,672415656449324386610,672415656449324386610,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 334338483235622591, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 334338483235622690}",149
20,12,3830800417294214921943,3830800417294214921943,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2959575153260200233, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 2959575153260200332}",149
20,13,18983021615737614641656,18983021615737614641656,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 21942159143184797145, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 21942159143184797244}",149
20,14,83528703804688263638357,83528703804688263638357,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 139551620596537922219, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 139551620596537922318}",149
20,15,331749269937757741463214,331749269937757741463214,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 776403070207346427411, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 776403070207346427510}",149
20,16,1205085448470184047429715,1205085448470184047429715,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3840371144445127276461, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 3840371144445127276560}",149
20,17,4047111819592066925855828,4047111819592066925855828,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 17119587055505596545773, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 17119587055505596545872}",149
20,18,12678662857624760916541521,12678662857624760916541521,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 69573358771317257895855, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 69573358771317257895954}",149
20,19,37329666776489427419525482,37329666776489427419525482,1,9,11,"{""a"": 9, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 260306681056530773830119, ""isolated"": 0, ""period_bound"": 99, ""proper_colorings"": 260306681056530773830218}",149
21,3,10460344004,10460344004,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 9199, ""isolated"": 0, ""period_bound"": 11, ""proper_colorings"": 9210}",162
21,4,4398033020370,4398033020370,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 13490734, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 13490844}",162
21,5,476834176226375,476834176226375,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2981976750, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 2981976860}",162
21,6,21936662539395296,21936662539395296,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 288100982560, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 288100982670}",162
21,7,558531301167101295,558531301167101295,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 14562916182712, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 14562916182822}",162
21,8,9222916684748552918,9222916684748552918,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 455352106222890, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 455352106223000}",162
21,9,109409230904658568895,109409230904658568895,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 9758226853790314, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 9758226853790424}",162
21,10,999846060868779332340,999846060868779332340,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 153939131220667660, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 153939131220667770}",162
21,11,7398366747600965193431,7398366747600965193431,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1883196657194907780, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 1883196657194907890}",162
21,12,45986535775230463319930,45986535775230463319930,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 18584134139238146182, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 18584134139238146292}",162
21,13,246911958719600361031383,246911958719600361031383,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 152570353850031673030, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 152570353850031673140}",162
21,14,1170287534947708574884520,1170287534947708574884520,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1068041006278646963544, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 1068041006278646963654}",162
21,15,4981380305178988709660255,4981380305178988709660255,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 6504789940487608699120, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 6504789940487608699230}",162
21,16,19307766449194552720376766,19307766449194552720376766,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 35046664639514074922050, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 35046664639514074922160}",162
21,17,68922537875350075463830415,68922537875350075463830415,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 169396037658657416996802, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 169396037658657416996912}",162
21,18,228724972542087783241546748,228724972542087783241546748,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 743279353041623898326020, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 743279353041623898326130}",162
21,19,711218648997708529182879495,711218648997708529182879495,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2990846695664676490876924, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 2990846695664676490877034}",162
21,20,2086018859553807447463102370,2086018859553807447463102370,1,10,11,"{""a"": 10, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 11133140446192552536897630, ""isolated"": 0, ""period_bound"": 110, ""proper_colorings"": 11133140446192552536897740}",162
22,3,31381033516,31381033516,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 26093, ""isolated"": 0, ""period_bound"": 13, ""proper_colorings"": 26106}",176
22,4,17592154527121,17592154527121,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 31517295, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 31517412}",176
22,5,2384175836643722,2384175836643722,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 9954371903, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 9954372020}",176
22,6,131620581476322783,131620581476322783,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1122365944353, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 1122365944470}",176
22,7,3909754703185781224,3909754703185781224,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 66345397206825, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 66345397206942}",176
22,8,73784597369109538925,73784597369109538925,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2378925728667539, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 2378925728667656}",176
22,9,984713214884020948926,984713214884020948926,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 57687299590283955, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 57687299590284072}",176
22,10,9998980981936902449227,9998980981936902449227,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1019018063097550773, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 1019018063097550890}",176
22,11,81388909718574830504348,81388909718574830504348,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 13839668264930608973, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 13839668264930609090}",176
22,12,551910907820209156302729,551910907820209156302729,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 150531092227261290615, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 150531092227261290732}",176
22,13,3210485277191458159779730,3210485277191458159779730,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1353600763396945377639, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 1353600763396945377756}",176
22,14,16388656383255584973554231,16388656383255584973554231,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 10321680100236132318665, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 10321680100236132318782}",176
22,15,74750137265230515859459632,74750137265230515859459632,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 68139161561628915930993, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 68139161561628915931110}",176
22,16,309088844691145980978835813,309088844691145980978835813,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 396165130199087745945243, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 396165130199087745945360}",176
22,17,1172504919198740609294572934,1172504919198740609294572934,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2057957322407849679489755, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 2057957322407849679489872}",176
22,18,4120759692167273707208896035,4120759692167273707208896035,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 9668841945055621308813789, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 9668841945055621308813906}",176
22,19,13528463853871811768627584036,13528463853871811768627584036,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 41516564302279139173787925, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 41516564302279139173788042}",176
22,20,41778647916587439114626167937,41778647916587439114626167937,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 164392083412560885373832063, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 164392083412560885373832180}",176
22,21,122089352511199795877450993178,122089352511199795877450993178,1,9,13,"{""a"": 9, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 604974874905837071552619663, ""isolated"": 0, ""period_bound"": 117, ""proper_colorings"": 604974874905837071552619780}",176
23,3,94143160413,94143160413,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 18414, ""isolated"": 0, ""period_bound"": 12, ""proper_colorings"": 18426}",188
23,4,70368691085512,70368691085512,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 53092152, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 53092284}",188
23,5,11920910976013557,11920910976013557,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 17979064568, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 17979064700}",188
23,6,789727674009241638,789727674009241638,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2549044361178, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 2549044361310}",188
23,7,27368568807982804933,27368568807982804933,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 178532098111410, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 178532098111542}",188
23,8,590288343536136393708,590288343536136393708,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7466822569258004, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 7466822569258136}",188
23,9,8862729821730016540197,8862729821730016540197,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 208297922484555732, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 208297922484555864}",188
23,10,99995813092813616079082,99995813092813616079082,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4186907186383920918, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 4186907186383921050}",188
23,11,895366115456793024053493,895366115456793024053493,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 64127798444348193038, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 64127798444348193170}",188
23,12,6623956638657345111842928,6623956638657345111842928,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 780628291891899277200, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 780628291891899277332}",188
23,13,41746101436369444364269333,41746101436369444364269333,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7803977043672002776464, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 7803977043672002776596}",188
23,14,229519925958197114187419982,229519925958197114187419982,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 65766928784381294800562, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 65766928784381294800694}",188
23,15,1121796887708122411674201957,1121796887708122411674201957,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 477258693759759956657418, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 477258693759759956657550}",188
23,16,4948724885599092484031476948,4948724885599092484031476948,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3035271542428615565019948, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 3035271542428615565020080}",188
23,17,19950399690965211994460555973,19950399690965211994460555973,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 17169209894311808098509740, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 17169209894311808098509872}",188
23,18,74260245196593845876981192658,74260245196593845876981192658,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 87468417428082036337584174, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 87468417428082036337584306}",188
23,19,257423972562078746152308676117,257423972562078746152308676117,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 405655383228981095917391142, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 405655383228981095917391274}",188
23,20,837132233698501333930638657432,837132233698501333930638657432,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1728566301498666069361342568, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 1728566301498666069361342700}",188
23,21,2569758637427364924404753843253,2569758637427364924404753843253,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 6822237680853367524322026408, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 6822237680853367524322026540}",188
23,22,7486298666670088475296133827318,7486298666670088475296133827318,1,11,12,"{""a"": 11, ""b"": 12, ""case"": ""bipartite"", ""d"": 1, ""gap"": 25114635342741787430094091530, ""isolated"": 0, ""period_bound"": 132, ""proper_colorings"": 25114635342741787430094091662}",188
24,3,282429505780,282429505780,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 30701, ""isolated"": 0, ""period_bound"": 13, ""proper_colorings"": 30714}",207
24,4,281474869084491,281474869084491,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 107626165, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 107626308}",207
24,5,59604597793696348,59604597793696348,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 46981694277, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 46981694420}",207
24,6,4738373388638497769,4738373388638497769,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7949683119127, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 7949683119270}",207
24,7,191580576892443038562,191580576892443038562,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 654488123375839, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 654488123375982}",207
24,8,4722334938660438146695,4722334938660438146695,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 31544209207067001, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 31544209207067144}",207
24,9,79765442547048899061416,79765442547048899061416,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1000529823610801945, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 1000529823610802088}",207
24,10,999977376089728335581253,999977376089728335581253,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 22623910271664418747, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 22623910271664418890}",207
24,11,9849346231762228680303694,9849346231762228680303694,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 386444045382414408147, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 386444045382414408290}",207
24,12,79491638933397484768902467,79491638933397484768902467,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 5208269993359364539069, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 5208269993359364539212}",207
24,13,542743483351730495497752180,542743483351730495497752180,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 57287022640017273843181, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 57287022640017273843324}",207
24,14,3213671438353647665594247841,3213671438353647665594247841,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 528262064093271156839775, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 528262064093271156839918}",207
24,15,16829938111441934624500460858,16829938111441934624500460858,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4174084586297949962429767, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 4174084586297949962429910}",207
24,16,79199386125851958457017569919,79199386125851958457017569919,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 28776388412379136526380417, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 28776388412379136526380560}",207
24,17,339272938832312503116312763072,339272938832312503116312763072,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 175732482299401527191354049, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 175732482299401527191354192}",207
24,18,1337295930188780485243442874365,1337295930188780485243442874365,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 962914863614217196295108611, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 962914863614217196295108754}",207
24,19,4893976385163658232964974249766,4893976385163658232964974249766,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4786545797188584751321028155, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 4786545797188584751321028298}",207
24,20,16755424836860490524628500751163,16755424836860490524628500751163,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 21791163139509475371499248837, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 21791163139509475371499248980}",207
24,21,54016587224436121427500283618444,54016587224436121427500283618444,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 91611152836462703010309644437, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 91611152836462703010309644580}",207
24,22,164892863300548641457067697964377,164892863300548641457067697964377,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 358229343733624322909316250279, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 358229343733624322909316250422}",207
24,23,478939549227697171331359750335250,478939549227697171331359750335250,1,11,13,"{""a"": 11, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1311214768804805458806006607791, ""isolated"": 0, ""period_bound"": 143, ""proper_colorings"": 1311214768804805458806006607934}",207
25,3,847288572598,847288572598,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 36845, ""isolated"": 0, ""period_bound"": 13, ""proper_colorings"": 36858}",221
25,4,1125899697160576,1125899697160576,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 209682048, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 209682204}",221
25,5,298023115667185701,298023115667185701,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 108209767424, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 108209767580}",221
25,6,28430265543020119662,28430265543020119662,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 22486909581714, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 22486909581870}",221
25,7,1341066447800805103261,1341066447800805103261,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2171863159797546, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 2171863159797702}",221
25,8,37778810936125138412676,37778810936125138412676,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 120926832023296892, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 120926832023297048}",221
25,9,717893618320057564406541,717893618320057564406541,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4369371795024363708, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 4369371795024363864}",221
25,10,9999888652531505530629346,9999888652531505530629346,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 111347468494469370654, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 111347468494469370810}",221
25,11,108344934531668172416239317,108344934531668172416239317,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2124902215549625590934, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 2124902215549625591090}",221
25,12,953930403515846742137568936,953930403515846742137568936,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 31762924843387463729496, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 31762924843387463729652}",221
25,13,7056024944143032237153970261,7056024944143032237153970261,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 385070723784428876769432, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 385070723784428876769588}",221
25,14,44994903501598820595280527606,44994903501598820595280527606,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3892304249552519234699018, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 3892304249552519234699174}",221
25,15,252478135212653261288303215341,252478135212653261288303215341,1,12,13,"{""a"": 12, ""b"": 13, ""case"": ""bipartite"", ""d"": 1, ""gap"": 33547727770227328640144034, ""isolated"": 0, ""period_bound"": 156, ""proper_colorings"": 33547727770227328640144190}",221
