source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
dyadic:unlabelled-problem-004,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,5043,,problem,Noise threshold,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,sec:conjectures-interp,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
dyadic:unlabelled-question-005,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,5051,,question,Sign structure of the differences,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,sec:conjectures-interp,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-definition-001,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,288,,definition,$q$-shifted factorial and Gaussian coefficient,Notation and elementary $q$-identities,no,gq:chap:q-newton,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-definition-002,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,334,,definition,Geometric comb,Geometry of the comb,no,gq:eq:real-normalization,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-proposition-001,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,349,,proposition,Scale covariance,Geometry of the comb / Scale covariance,yes,gq:chap:scope,human-proved frontier result,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:vandermonde,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,374,eq:vandermonde,theorem,Geometric Vandermonde determinant,Geometry of the comb / Vandermonde determinant,yes,gq:thm:geometric-vandermonde,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:bary-denominator,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,420,eq:bary-denominator,theorem,Explicit denominator and cardinal function,Lagrange interpolation on a finite comb / Cardinal functions and barycentric weights,yes,gq:thm:geometric-barycentric,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:lambda,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,463,eq:lambda,corollary,Scale-free origin weights,Lagrange interpolation on a finite comb / The origin row,yes,g1:eq:lambda,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:arbitrary-residual,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,496,eq:arbitrary-residual,theorem,Complete-homogeneous residual,Lagrange interpolation on a finite comb / Residuals at an arbitrary target,yes,gq:thm:monomial-residual,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:all-moments,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,520,eq:all-moments,corollary,All origin moments,Lagrange interpolation on a finite comb / Residuals at an arbitrary target,no,g1:eq:all-moments,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:sharp-majorant,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,549,eq:sharp-majorant,theorem,Reciprocal-$q$-binomial majorant,Lagrange interpolation on a finite comb / Exact analytic tail and a sharp majorant,yes,g1:eq:sharp-majorant,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:divdiff-Jackson,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,586,eq:divdiff-Jackson,theorem,Geometric divided differences,Newton interpolation and Jackson calculus / Jackson derivative as a divided difference,yes,gq:thm:Dq-divided-difference,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:Newton-Jackson,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,612,eq:Newton-Jackson,theorem,Newton--Jackson interpolation,Newton interpolation and Jackson calculus / Newton formula and explicit coefficients,yes,gq:cor:q-taylor-interpolant,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:newton-to-monomial,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,644,eq:newton-to-monomial,theorem,Monomial--Newton transforms,Newton interpolation and Jackson calculus / Two inverse Gaussian basis transforms,yes,gq:thm:gaussian-pascal-basis,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:infinite-Newton,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,681,eq:infinite-Newton,theorem,Locally uniform infinite Newton series,Newton interpolation and Jackson calculus / Infinite Newton reconstruction,yes,gq:thm:analytic-newton-convergence,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:operator-factorization,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,740,eq:operator-factorization,theorem,Operator factorization,Dilation-operator calculus and the Gaussian filter / Spectral polynomial,yes,g1:eq:operator-factorization,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:weight-recursion,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,771,eq:weight-recursion,corollary,Weight recurrence,Dilation-operator calculus and the Gaussian filter / Spectral polynomial,no,gq:prop:richardson-weights,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:eq:pure-power,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,785,eq:pure-power,theorem,Power multiplier,Dilation-operator calculus and the Gaussian filter / Exact action on powers and logarithmic powers,yes,g1:eq:pure-power,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:log-power,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,805,eq:log-power,corollary,Logarithmic modes,Dilation-operator calculus and the Gaussian filter / Exact action on powers and logarithmic powers,no,g2:prop:log-powers,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric:unlabelled-proposition-002,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,821,,proposition,Minimum-degree uniqueness,Dilation-operator calculus and the Gaussian filter / Uniqueness,yes,g1:eq:mode-polynomial,human-proved frontier result,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:mode-polynomial,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,842,eq:mode-polynomial,definition,Mode polynomial,Confluent modal extrapolation,no,g1:eq:mode-polynomial,not applicable,,,Retained under its canonical prefixed label.
geometric:unlabelled-theorem-011,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,858,,theorem,Confluent annihilation,Confluent modal extrapolation,yes,g1:eq:mode-polynomial,human-proved frontier result,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:general-mode-multiplier,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,881,eq:general-mode-multiplier,corollary,Exact general multiplier,Confluent modal extrapolation,no,g1:eq:general-mode-multiplier,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:puiseux-log-expansion,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,892,eq:puiseux-log-expansion,theorem,Puiseux--log acceleration,Confluent modal extrapolation,yes,g1:eq:puiseux-log-expansion,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:unlabelled-problem-001,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,923,,problem,Stability-optimal modal design,Confluent modal extrapolation,no,g1:sec:modal,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:K-n,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,940,eq:K-n,theorem,Exact noise amplification,"Stability, boundary layers, and regular variation / Exact total variation",yes,g1:eq:K-n,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:K-modular,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,987,eq:K-modular,theorem,Modular asymptotic,"Stability, boundary layers, and regular variation / The singular regime $q\uparrow1$",yes,g1:eq:K-modular,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:l1-boundary,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1034,eq:l1-boundary,theorem,$\ell^1$ boundary-layer convergence,"Stability, boundary layers, and regular variation / The reversed-row boundary layer",yes,g1:eq:l1-boundary,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:continuous-convergence,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1059,eq:continuous-convergence,theorem,Continuous accumulation-point convergence,"Stability, boundary layers, and regular variation / Convergence for merely continuous data",yes,g1:eq:continuous-convergence,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:regular-variation,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1097,eq:regular-variation,theorem,Regular-variation transfer,"Stability, boundary layers, and regular variation / Regularly varying endpoint germs",yes,g1:eq:regular-variation,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:Y-dirichlet,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1142,eq:Y-dirichlet,theorem,Geometric Hermite--Genocchi remainder,Smooth remainders and geometric-knot B-splines / Hermite--Genocchi representation,yes,g1:eq:Y-dirichlet,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:smooth-bound,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1176,eq:smooth-bound,corollary,Sharp derivative bound and sign,Smooth remainders and geometric-knot B-splines / Hermite--Genocchi representation,no,g1:eq:smooth-bound,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:unlabelled-theorem-019,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1208,,theorem,Geometric-knot B-spline,Smooth remainders and geometric-knot B-splines / Peano kernel and a positive spline density,yes,g1:eq:B-density,human-proved frontier result,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:Y-moments,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1242,eq:Y-moments,theorem,Gaussian-binomial B-spline moments,Smooth remainders and geometric-knot B-splines / Exact moments,yes,g1:eq:Y-moments,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:Y-scaling-limit,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1277,eq:Y-scaling-limit,theorem,Scaling limit of the geometric B-spline,Smooth remainders and geometric-knot B-splines / A $q$-Pochhammer scaling limit,yes,g1:eq:Y-scaling-limit,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:finite-density,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1381,eq:finite-density,theorem,Finite box-spline formula,Geometric-uniform random sums and finite splines / Finite generalized Irwin--Hall splines,yes,g1:eq:finite-density,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:dyadic-finite-CDF,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1417,eq:dyadic-finite-CDF,corollary,Dyadic Thue--Morse collapse,Geometric-uniform random sums and finite splines / Finite generalized Irwin--Hall splines,yes,g1:eq:dyadic-finite-CDF,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:Zb-cumulants,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1488,eq:Zb-cumulants,proposition,Cumulants of the geometric-uniform law,"Geometric-uniform random sums and finite splines / Centered law, Bernoulli cumulants, and sinc products",yes,g1:eq:Zb-cumulants,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:F-derivatives,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1542,eq:F-derivatives,lemma,Endpoint derivatives,Fabius and Rvachev functions at the flat boundary / Definitions and endpoint differential scaling,yes,g1:eq:F-derivatives,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:Sn,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1564,eq:Sn,theorem,Fabius boundary filter,Fabius and Rvachev functions at the flat boundary / An exact boundary-comb identity,yes,g1:eq:Sn,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:F-dyadic-filter,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1600,eq:F-dyadic-filter,corollary,Exact dyadic form,Fabius and Rvachev functions at the flat boundary / An exact boundary-comb identity,no,g1:eq:F-dyadic-filter,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:even-entire-filter,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1692,eq:even-entire-filter,theorem,Even-entire scale filter,Fourier-scale interpolation for the Rvachev function / Exact moment-flat filter,yes,g1:eq:even-entire-filter,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:eq:Phi-scale-Newton,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1748,eq:Phi-scale-Newton,theorem,Scale reconstruction from a geometric sample ray,Fourier-scale interpolation for the Rvachev function / Entire Newton reconstruction of all scales,yes,g1:eq:Phi-scale-Newton,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric:unlabelled-algorithm-001,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1821,,algorithm,Factorized geometric-comb filter,Algorithms and numerical implementation / Origin extrapolation by factor recursion,no,g1:sec:algorithms,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:eq:local-density-conjecture,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,1997,eq:local-density-conjecture,conjecture,Local density limit,Research frontiers and conjectures / A local limit theorem for geometric B-splines,no,g1:eq:local-density-conjecture,conjecture,,,Retained under its canonical prefixed label.
geometric:eq:Fabius-rho-conjecture,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,2027,eq:Fabius-rho-conjecture,conjecture,Leading decay of the normalized Fabius remainder,Research frontiers and conjectures / Fabius--Dirichlet small-value asymptotics,no,g1:eq:Fabius-rho-conjecture,conjecture,,,Retained under its canonical prefixed label.
geometric:unlabelled-problem-002,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,2056,,problem,Second-order transfer theorem,Research frontiers and conjectures / Second-order regular variation,no,g1:sec:frontiers,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-problem-003,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,2069,,problem,Universal transition kernel,"Research frontiers and conjectures / The double-scaling transition $q\uparrow1$, $n\to\infty$",no,g1:sec:frontiers,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-problem-004,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,2087,,problem,Minimax geometric extrapolation,Research frontiers and conjectures / Optimal filters under analytic priors,no,g1:sec:frontiers,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric:unlabelled-problem-005,geometric,geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,2106,,problem,Lambert-adapted Newton coordinates,Research frontiers and conjectures / Inverse Fabius and nonlinear combs,no,g1:sec:frontiers,open problem,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric_3:prop:nodal-polynomial,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,353,prop:nodal-polynomial,proposition,The nodal polynomial is a shifted factorial,Algebra of the geometric Vandermonde system / Nodal polynomial and Vandermonde determinant,yes,gq:eq:nodal-polynomial,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:pascal-factorization,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,409,thm:pascal-factorization,theorem,Evaluation matrix and Gaussian Pascal matrix,Algebra of the geometric Vandermonde system / The Gaussian Pascal factorization,yes,gq:thm:gaussian-pascal-basis,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:basis-change,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,471,thm:basis-change,theorem,Monomial--Newton connection coefficients,Algebra of the geometric Vandermonde system / Two inverse basis changes,yes,gq:thm:gaussian-pascal-basis,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:cor:formal-newton-coefficients,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,494,cor:formal-newton-coefficients,corollary,Newton coefficients of a formal power series,Algebra of the geometric Vandermonde system / Two inverse basis changes,yes,gq:prop:taylor-newton-transform,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:barycentric,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,519,thm:barycentric,theorem,Closed barycentric weights,Lagrange cardinal functions on the comb / Barycentric weights,yes,gq:thm:geometric-barycentric,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:unlabelled-algorithm-001,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,562,,algorithm,Stable construction of the weights,Lagrange cardinal functions on the comb / Barycentric weights,no,gq:thm:geometric-barycentric,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
geometric_3:thm:general-target,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,576,thm:general-target,theorem,Arbitrary geometric target,Lagrange cardinal functions on the comb / A target on the same multiplicative line,yes,g2:thm:general-target,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:filter-characteristic,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,627,thm:filter-characteristic,theorem,Reversed Gaussian characteristic identity,Lagrange cardinal functions on the comb / The zero row as a dilation polynomial,yes,g1:eq:operator-factorization,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:row-norm,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,668,thm:row-norm,theorem,Exact row norm,Lagrange cardinal functions on the comb / Exact total variation and conditioning at the accumulation point,yes,gq:thm:endpoint-lebesgue,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:mellin-symbol,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,736,thm:mellin-symbol,theorem,Exact Mellin symbol,Mellin symbols and exact residuals / Complex powers,yes,g2:thm:mellin-symbol,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:cor:integer-moments,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,769,cor:integer-moments,corollary,Natural moments and the first residual,Mellin symbols and exact residuals / Complex powers,yes,g2:cor:integer-moments,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:prop:log-powers,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,811,prop:log-powers,proposition,Powers times logarithms,Mellin symbols and exact residuals / Logarithmic powers by spectral differentiation,yes,g2:prop:log-powers,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:universal-residual,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,885,thm:universal-residual,theorem,Exact monomial residual,Mellin symbols and exact residuals / The universal complete-symmetric residual,yes,gq:thm:monomial-residual,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:cor:analytic-residual,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,923,cor:analytic-residual,corollary,Exact analytic interpolation tail,Mellin symbols and exact residuals / The universal complete-symmetric residual,yes,gq:cor:analytic-residual,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:cor:disk-bound,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,950,cor:disk-bound,corollary,A disk bound,Mellin symbols and exact residuals / The universal complete-symmetric residual,yes,g1:eq:sharp-majorant,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:jackson-divided,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,981,thm:jackson-divided,theorem,Geometric divided differences are Jackson derivatives,Newton interpolation is Jackson calculus / Divided differences and iterated \texorpdfstring{$q$,yes,gq:thm:Dq-divided-difference,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:cor:finite-jackson-newton,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1030,cor:finite-jackson-newton,corollary,Finite Jackson--Newton formula,Newton interpolation is Jackson calculus / Divided differences and iterated \texorpdfstring{$q$,no,gq:cor:q-taylor-interpolant,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:thm:infinite-jackson-newton,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1058,thm:infinite-jackson-newton,theorem,Local analytic convergence,Newton interpolation is Jackson calculus / Infinite Jackson--Newton series for analytic functions,yes,gq:thm:analytic-newton-convergence,human-proved frontier result,,,Deduplicated into the cited stronger canonical result; the source statement remains recoverable at SOURCE_REVISION.
geometric_3:prop:taylor-limit,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1110,prop:taylor-limit,proposition,Taylor limit,Newton interpolation is Jackson calculus / The limits \texorpdfstring{$q\to1$,yes,g2:prop:taylor-limit,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:neville,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1147,thm:neville,theorem,Geometric Neville recurrence,"Newton interpolation is Jackson calculus / Neville, Richardson, and Romberg recurrences",yes,g2:thm:neville,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:cor:richardson,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1177,cor:richardson,corollary,Generalized Richardson cancellation,"Newton interpolation is Jackson calculus / Neville, Richardson, and Romberg recurrences",no,g2:cor:richardson,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:regular-summability,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1200,thm:regular-summability,theorem,Regularity at the accumulation point,Convergence at an accumulation point and divergence away from it / The zero row is a regular summability method,yes,g2:thm:regular-summability,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:prop:holder-filter,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1267,prop:holder-filter,proposition,A simple Hölder estimate,"Convergence at an accumulation point and divergence away from it / Power, Puiseux, and logarithmic endpoint expansions",yes,g2:prop:holder-filter,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:eq:q-superflat,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1308,eq:q-superflat,definition,,Convergence at an accumulation point and divergence away from it / Superflat data force divergence off the comb,no,g2:eq:q-superflat,not applicable,,,Retained under its canonical prefixed label.
geometric_3:thm:superflat-divergence,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1317,thm:superflat-divergence,theorem,Exact convergence set for nontrivial superflat data,Convergence at an accumulation point and divergence away from it / Superflat data force divergence off the comb,yes,g2:thm:superflat-divergence,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:prop:uq-smooth,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1438,prop:uq-smooth,proposition,Smooth compactly supported density,"The geometric-uniform family / Probability law, support, and refinement",yes,g2:prop:uq-smooth,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:moment-recurrence,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1489,thm:moment-recurrence,theorem,Moment recurrence,The geometric-uniform family / Moments and Bernoulli cumulants,yes,g2:thm:moment-recurrence,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:lem:boundary-tower,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1553,lem:boundary-tower,lemma,Boundary derivative tower,The geometric-uniform family / The left boundary layer,yes,g2:lem:boundary-tower,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:comb-moment,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1577,thm:comb-moment,theorem,Geometric comb--moment identity,The geometric-uniform family / Comb samples are normalized moments,yes,g2:thm:comb-moment,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:fabius-endpoint-convolution,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1699,thm:fabius-endpoint-convolution,theorem,Exact endpoint convolution,Exact Fabius transforms on the dyadic comb / The endpoint extrapolant as a Mersenne--moment convolution,yes,g2:thm:fabius-endpoint-convolution,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:quadratic-endpoint-bound,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1728,thm:quadratic-endpoint-bound,theorem,Quadratic endpoint bound,Exact Fabius transforms on the dyadic comb / The endpoint extrapolant as a Mersenne--moment convolution,yes,g2:thm:quadratic-endpoint-bound,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:thm:general-moment-transform,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1773,thm:general-moment-transform,theorem,General geometric-uniform moment transform,Exact Fabius transforms on the dyadic comb / Newton coefficients as a Gaussian moment transform,yes,g2:thm:general-moment-transform,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:cor:dyadic-moment-transform,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1811,cor:dyadic-moment-transform,corollary,Dyadic Gaussian and Mersenne forms,Exact Fabius transforms on the dyadic comb / Newton coefficients as a Gaussian moment transform,yes,g2:cor:dyadic-moment-transform,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:cor:fabius-convergence-set,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1874,cor:fabius-convergence-set,corollary,Exact convergence set for Fabius comb interpolation,Exact Fabius transforms on the dyadic comb / Exact divergence of the Fabius interpolants,yes,g2:cor:fabius-convergence-set,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:cor:coefficient-upper,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1894,cor:coefficient-upper,corollary,A rigorous upper scale for coefficient growth,Exact Fabius transforms on the dyadic comb / Exact divergence of the Fabius interpolants,yes,g2:cor:coefficient-upper,human-proved frontier result,,,Retained under its canonical prefixed label.
geometric_3:conj:quarter-exponent,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1910,conj:quarter-exponent,conjecture,Quadratic coefficient exponent,Exact Fabius transforms on the dyadic comb / Exact divergence of the Fabius interpolants,no,g2:conj:quarter-exponent,conjecture,,,Retained under its canonical prefixed label.
geometric_3:thm:reciprocal-product,geometric_3,geometric_comb_interpolation_report-3/geometric_comb_interpolation.tex,1953,thm:reciprocal-product,theorem,Reciprocal sinc-product filter,The Rvachev Fourier product through the same filter / Tail products along a geometric comb,yes,g2:thm:reciprocal-product,human-proved frontier result,,,Retained under its canonical prefixed label.
